Member Name,Primary Domain,Date,Type,Role,Title
"Clark, William","Medicine","1991","Abstract Presented","","Treatment of Lupus Nephritis (3) � eicosapentaenois acid."
"Clark, William","Medicine","1992/04","Abstract Presented","","Treatment of Lupus Nephritis (1)."
"Clark, William","Medicine","1985","Abstract Presented","","Mechanisms of intra-renal platelet release."
"Clark, William","Medicine","1983","Abstract Presented","","Chronic plasma exchange in SLE nephritis."
"Clark, William","Medicine","1982","Abstract Presented","","Controlled trial of chronic plasma exchange therapy in SLE nephritis."
"Clark, William","Medicine","1982","Abstract Presented","","Controlled trial of chronic plasma exchange therapy in SLE nephritis."
"Clark, William","Medicine","1978","Abstract Presented","","Platelet studies in experimental endo-capillary scarring induced in swine by precipitating immune complexes."
"Clark, William","Medicine","1978","Abstract Presented","","Protective effect of PGE-2 in experimental acute renal failure (ARF)."
"Clark, William","Medicine","1978","Abstract Presented","","Glomerular endocapillary scarring induced by precipitating immune complexes in swine: light, ultrastructural and immunofluorescent studies."
"Clark, William","Medicine","1978","Abstract Presented","","Plasma heparin neutralizing activity (HJA) in dialyzed and non-dialyzed uremics."
"Clark, William","Medicine","1978","Abstract Presented","","Improvement of platelet function by increased frequency of dialysis."
"Clark, William","Medicine","1978","Abstract Presented","","Serum vitamin A levels associated findings in patients on regular haemodialysis treatment."
"Clark, William","Medicine","1977","Abstract Presented","","Aetiology, diagnosis, treatment and prognosis of acute renal failure (ARF) in an intensive care unit."
"Clark, William","Medicine","1975","Abstract Presented","","A study of 100 cases of primary glomerular disease."
"Dasgupta, Monidipa","Medicine","2003/10","Poster Presentation","Keynote Speaker","Frailty and Postoperative complications in older adults."
"Dasgupta, Monidipa","Medicine","2003/06","Invited Lectures","Keynote Speaker","Frailty and Postoperative complications in older adults."
"Dasgupta, Monidipa","Medicine","2003/05","Invited Lectures","Keynote Speaker","Frailty and Postoperative complications in older adults."
"Dasgupta, Monidipa","Medicine","2001","Invited Lectures","Keynote Speaker","Predictors of gains in patients attending a day hospital."
"Dasgupta, Monidipa","Medicine","2001","Invited Lectures","Keynote Speaker","Predictors of gains in patients attending a day hospital."
"Dasgupta, Monidipa","Medicine","1999/09","Invited Lectures","Keynote Speaker","Subcutaneous Fluid Therapy for Use in Long-Term Care."
"Dasgupta, Monidipa","Medicine","1990/03","Poster Presentation","Keynote Speaker","EBV Reactivation and its possible role in Sjogrens Syndrome."
"Dasgupta, Monidipa","Medicine","2007/04","Poster Presentation","Supervisor","A preliminary look at the use of observational care in the Acute Care setting"
"Dasgupta, Monidipa","Medicine","2006/05","Abstract Presented","Supervisor","Hepatic Cytochrome Polymorphism and Response to Galantamine in Dementia."
"Dasgupta, Monidipa","Medicine","2001","Invited Lectures","Keynote Speaker","SWOGAN South Western Ontario Geriatric Assessment Network Educational Presentor"
"Dresser, George","Medicine","2000/10","Abstract Presented","Presenter","Grapefruit juice selectively inhibits OATP not P-glycoprotein"
"Dresser, George","Medicine","2000/12/02","Invited Lectures","Invited Lecturer","Pharmacogenomics of warfarin."
"Dresser, George","Medicine","2000/12/07","Invited Lectures","Invited Lecturer","Pharmacogenomics & patient care - from benchtop to bedside?"
"Dresser, George","Medicine","2001/02/02","Invited Lectures","Invited Lecturer","�Hyperhomocyst(e)inemia: facts and fiction in the life of a cardiac risk factor�"
"Dresser, George","Medicine","2001/02/23","Invited Lectures","Invited Lecturer","�Grapefruit juice interactions the internist should know about�"
"Dresser, George","Medicine","2001/04/18","Invited Lectures","Invited Lecturer","�Herbs, Diet & Drug Interactions�"
"Dresser, George","Medicine","2001/05/09","Invited Lectures","Invited Lecturer","Issues and challenges in the treatment of hypertension including drug interactions."
"Dresser, George","Medicine","2001/05/10","Invited Lectures","Invited Lecturer","�St. John�s Wort induces intestinal and hepatic CYP3A4 and p-glycoprotein in healthy volunteers�"
"Dresser, George","Medicine","2001/05/10","Invited Lectures","Invited Lecturer","�Citrus juices are potent inhibitors of intestinal OATP but not p-glycoprotein�."
"Dresser, George","Medicine","2001/05/25","Invited Lectures","Invited Lecturer","Drug interactions in the ICU."
"Dresser, George","Medicine","2001/09/20","Invited Lectures","Invited Lecturer","Multiple medications in the elderly: when is enough enough?"
"Dresser, George","Medicine","2001/10/04","Invited Lectures","Invited Lecturer","Drug interactions and herbal remedies."
"Dresser, George","Medicine","2002/02/06","Invited Lectures","Invited Lecturer","Herb/Drug Interactions."
"Dresser, George","Medicine","2002/04/03","Invited Lectures","Invited Lecturer","�Which prescription requires extra follow up � A monitoring guide�."
"Dresser, George","Medicine","2002/05/29","Invited Lectures","Invited Lecturer","�Herbs: Which ones work�?"
"Dresser, George","Medicine","2002/05","Invited Lectures","Invited Lecturer","Series of Eight �Train the Trainer� teleconferences for the Cardi-Active Drug Interaction Program"
"Dresser, George","Medicine","2002/06/03","Invited Lectures","Invited Lecturer","�Better therapeutics in 2002� What do you need to know about drug interactions?�."
"Dresser, George","Medicine","2002/06/08","Invited Lectures","Invited Lecturer","�Better therapeutics in 2002� What do you need to know about drug interactions?�."
"Dresser, George","Medicine","2002/06/18","Invited Lectures","Invited Lecturer","Cardi-Active drug interactions CME program."
"Dresser, George","Medicine","2002/09/17","Invited Lectures","Invited Lecturer","�Drug interactions in cardiovascular disease�."
"Dresser, George","Medicine","2002/09/27","Invited Lectures","Invited Lecturer","�Drug interactions: A conceptual and practical guide�."
"Dresser, George","Medicine","2002/10/09","Invited Lectures","Invited Lecturer","�Hypertension Guidelines�."
"Dresser, George","Medicine","2002/11/05","Invited Lectures","Invited Lecturer","�Hypertension and Stroke Prevention Strategies�."
"Dresser, George","Medicine","2002/11/20","Invited Lectures","Invited Lecturer","�Implications of combination therapy when treating to new hypertension guidelines�."
"Dresser, George","Medicine","2002/11/27","Invited Lectures","Invited Lecturer","�Simple concepts in clinically relevant drug/drug interactions�."
"Dresser, George","Medicine","2002/11/27","Invited Lectures","Invited Lecturer","�Cardi-Active Drug Interactions CME Program�."
"Blake, Peter","Medicine","1989/10","Invited Lectures","Invited Lecturer","Long term jugular catheters for haemodialysis - their use and associated complications."
"Dresser, George","Medicine","2003/01/14","Invited Lectures","Invited Lecturer","�Issues in Managing Cardiovascular Disease in the Elderly Patient�."
"Blake, Peter","Medicine","1992/02","Invited Lectures","Invited Lecturer","Urea kinetics has little relevance in assessing the adequacy of peritoneal dialysis."
"Blake, Peter","Medicine","1992/05","Invited Lectures","Invited Lecturer","Urea kinetics analysis affects clinical outcome in CAPD?"
"Dresser, George","Medicine","2003/01/24","Invited Lectures","Invited Lecturer","�Drug Interactions: A Conceptual and Practical Guide�."
"Blake, Peter","Medicine","1992/10","Invited Lectures","Invited Lecturer","Problems predicting CAPD outcomes with small solute clearances."
"Dresser, George","Medicine","2003/02/08","Invited Lectures","Invited Lecturer","�Drug Interactions and the Elderly�."
"Blake, Peter","Medicine","1992/10","Invited Lectures","Invited Lecturer","Quantitation of dialysis by urea kinetics is important."
"Dresser, George","Medicine","2003/02/19","Invited Lectures","Invited Lecturer","�Cardi-Active Drug Interactions CME Program�."
"Blake, Peter","Medicine","1992/12/10","Invited Lectures","Invited Lecturer","Diabetic Nephropathy."
"Blake, Peter","Medicine","1993/03/05","Invited Lectures","Invited Lecturer","Effects of erythropoietin on peritoneal transport."
"Dresser, George","Medicine","2003/02/28","Invited Lectures","Invited Lecturer","""Polypharmacy in Cardiovascular Disease: Rationalizing Drug Therapy""."
"Blake, Peter","Medicine","1993/06/16","Conference Presentation","Invited Lecturer","Peritoneal transport and erythropoietin."
"Blake, Peter","Medicine","1993/10/16","Invited Lectures","Invited Lecturer","IGF as a marker of nutritional status."
"Dresser, George","Medicine","2003/03/05","Invited Lectures","Invited Lecturer","�Bridging the Gap in Hypertension: New Options in Fixed Dose Combination Therapy�."
"Blake, Peter","Medicine","1993/10/27","Invited Lectures","Invited Lecturer","The DCCT and diabetic nephropathy."
"Dresser, George","Medicine","2003/04/09","Invited Lectures","Invited Lecturer","�Cardi-Active Drug Interactions Workshop�."
"Blake, Peter","Medicine","1994/06/19","Invited Lectures","Invited Lecturer","Economics of peritoneal versus haemodialysis."
"Blake, Peter","Medicine","1994/06/20","Invited Lectures","Invited Lecturer","Adequacy of peritoneal dialysis."
"Dresser, George","Medicine","2003/04/23","Invited Lectures","Invited Lecturer","�Cardi-Active Drug Interactions CME Program�."
"Blake, Peter","Medicine","1994/06/20","Invited Lectures","Invited Lecturer","Malnutrition in peritoneal dialysis."
"Dresser, George","Medicine","2003/08/19","Invited Lectures","Invited Lecturer","�Pursuing the �Silent Killer�: Reviewing the Evidence and Building the Case for Effective Treatment of Hypertension�."
"Blake, Peter","Medicine","1994/06/21","Invited Lectures","Invited Lecturer","Complications related to adequacy of peritoneal dialysis."
"Blake, Peter","Medicine","1994/10/06","Invited Lectures","Invited Lecturer","Peritoneal dialysis adequacy and nutrition."
"Blake, Peter","Medicine","1994/09/14","Invited Lectures","Invited Lecturer","Malnutrition: A major problem in dialysis patients."
"Blake, Peter","Medicine","1994/10/25","Invited Lectures","Invited Lecturer","KT/V urea and clinical outcome - A balanced viewpoint."
"Blake, Peter","Medicine","1994/12/02","Invited Lectures","Invited Lecturer","The future of peritoneal dialysis."
"Dresser, George","Medicine","2003/09/17","Invited Lectures","Invited Lecturer","�More on Herbs in 2003: the Bad the Good and the Interesting�."
"Blake, Peter","Medicine","1994/12/03","Invited Lectures","Invited Lecturer","Participation in Workshop on peritoneal dialysis."
"Dresser, George","Medicine","2003/09/22","Invited Lectures","Invited Lecturer","�Cardi-Active Drug Interactions CME Program�."
"Blake, Peter","Medicine","1995/03/27","Invited Lectures","Invited Lecturer","Peritoneal Dialysis Adequacy & Nutrition."
"Dresser, George","Medicine","2003/11/05","Invited Lectures","Invited Lecturer","�ALLHAT vs. ANBP2�."
"Blake, Peter","Medicine","1995/04/09","Invited Lectures","Invited Lecturer","An update in peritoneal dialysis."
"Dresser, George","Medicine","2003/11/19","Invited Lectures","Invited Lecturer","�Prevention of Cardiac Events in Coronary Disease: Evidence from EUROPA�."
"Blake, Peter","Medicine","1995/04/12","Invited Lectures","Invited Lecturer","Resource Planning."
"Dresser, George","Medicine","2004/11/19","Invited Lectures","Invited Lecturer","Drug Interactions in the Cardiac Patient."
"Blake, Peter","Medicine","1995/04/23","Invited Lectures","Invited Lecturer","Nutrition Assessment and Management."
"Blake, Peter","Medicine","1995/05/05","Invited Lectures","Invited Lecturer","The Peak Concentration Hypothesis: Does it matter?"
"Dresser, George","Medicine","2005/04/13","Invited Lectures","Invited Lecturer","�Advancing 24 hour Blood Pressure Control�."
"Blake, Peter","Medicine","1995/05/05","Invited Lectures","Invited Lecturer","How to measure access recirculation with a method based on differential conductivity."
"Blake, Peter","Medicine","1995/06","Invited Lectures","Invited Lecturer","Targets in CAPD and APD prescriptions."
"Dresser, George","Medicine","2005/04/27","Invited Lectures","Invited Lecturer","�Drug Interactions in your Cardiovascular Patients � Avoiding Possible Adverse Reactions�."
"Blake, Peter","Medicine","1995/06","Invited Lectures","Invited Lecturer","Adequacy of peritoneal dialysis."
"Blake, Peter","Medicine","1995/07/06","Invited Lectures","Invited Lecturer","Dialysis Adequacy."
"Blake, Peter","Medicine","1995/07/06","Invited Lectures","Invited Lecturer","The future of peritoneal dialysis."
"Blake, Peter","Medicine","1995/07/06","Invited Lectures","Invited Lecturer","Advances in treatment of PD peritonitis."
"Blake, Peter","Medicine","1995/09/16","Invited Lectures","Invited Lecturer","Adequacy of dialysis."
"Blake, Peter","Medicine","1995/08","Invited Lectures","Invited Lecturer","What can we learn from small solute clearance in peritoneal dialysis?"
"Blake, Peter","Medicine","1995/11","Invited Lectures","Invited Lecturer","Loss of residual renal function."
"Dresser, George","Medicine","2005/05/11","Invited Lectures","Invited Lecturer","�Drug Interactions�."
"Blake, Peter","Medicine","1995/11/03","Invited Lectures","Invited Lecturer","Techniques for modeling adequacy of dialysis in patients on peritoneal dialysis."
"Blake, Peter","Medicine","1995/11","Conference Presentation","Invited Lecturer","Adequacy and nutrition in peritoneal dialysis: controversies and solutions."
"Dresser, George","Medicine","2005/05/19","Invited Lectures","Invited Lecturer","�Treating the diabetic hypertensive with and without nephropathy�."
"Blake, Peter","Medicine","1995/11","Invited Lectures","Invited Lecturer","Adequacy and nutrition of peritoneal dialysis: Workshop."
"Blake, Peter","Medicine","1995/02/23","Invited Lectures","Invited Lecturer","Nutritional issues in peritoneal dialysis."
"Dresser, George","Medicine","2005/06/15","Invited Lectures","Invited Lecturer","�Statin Therapy � Fear Factor: Fact vs Fiction�."
"Dresser, George","Medicine","2005/06/16","Invited Lectures","","�A Closer Look at ACE Inhibitors: Class Effect, Fact or Fiction�."
"Blake, Peter","Medicine","1996/02/23","Invited Lectures","Invited Lecturer","Adequacy of peritoneal dialysis."
"Blake, Peter","Medicine","1996/06","Invited Lectures","Keynote Speaker","Dialysis Services in Ontario."
"Dresser, George","Medicine","2005/06/29","Invited Lectures","Invited Lecturer","�Drug Interactions in the Cardiovascular Patient: Fact or Fiction�."
"Dresser, George","Medicine","2005/10/19","Invited Lectures","Invited Lecturer","�ALLHAT vs ASCOT: Update in Hypertension Management�."
"Blake, Peter","Medicine","1996/06/20","Invited Lectures","Invited Lecturer","The importance of residual renal function for nutrition and adequacy of peritoneal dialysis."
"Dresser, George","Medicine","2005/10/26","Invited Lectures","Invited Lecturer","�Why Act When and How: A review of Current Standards and Practical Applications�."
"Blake, Peter","Medicine","1996/06","Invited Lectures","Invited Lecturer","Nutrition and mortality in CAPD patients."
"Dresser, George","Medicine","2005/11/03","Invited Lectures","Invited Lecturer","�Evidence based review of ACE inhibitors in cardiovascular disease prevention�."
"Blake, Peter","Medicine","1996/08","Invited Lectures","Invited Lecturer","Urea kinetics are overemphasized in the care of dialysis patients."
"Blake, Peter","Medicine","1996/07","Invited Lectures","Invited Lecturer","Update on adequacy of peritoneal dialysis."
"Blake, Peter","Medicine","1996/10","Invited Lectures","Invited Lecturer","Update on adequacy of peritoneal dialysis."
"Dresser, George","Medicine","2005/11/02","Invited Lectures","Invited Lecturer","�Medical Management of Vascular Surgery Patient�."
"Blake, Peter","Medicine","1996/10","Invited Lectures","Invited Lecturer","Serum albumin in dialysis patients."
"Dresser, George","Medicine","2005/11/03","Invited Lectures","Invited Lecturer","�Anatomy of a Study: The Art of Deciphering a Clinical Paper�."
"Blake, Peter","Medicine","1996/10","Invited Lectures","Invited Lecturer","Urea kinetics: Update. Nephrology Symposium: Issues in Nutrition and Metabolism Urea Kinetics Update."
"Dresser, George","Medicine","2005/11/10","Invited Lectures","Invited Lecturer","�What to know about geriatric polypharmacy and drug interactions�."
"Blake, Peter","Medicine","1996/10","Invited Lectures","Invited Lecturer","Adequacy of peritoneal dialysis - dose as related to survival."
"Blake, Peter","Medicine","1996/10","Invited Lectures","Invited Lecturer","Ensuring an adequate PD prescription. Quality in Dialysis Symposium."
"Blake, Peter","Medicine","1996/12","Invited Lectures","Invited Lecturer","Update on adequacy of peritoneal dialysis."
"Dresser, George","Medicine","2005/11/23","Invited Lectures","Invited Lecturer","Whats New and what has not changed, �Medical management of stroke patients: a guidelines update�."
"Blake, Peter","Medicine","1997/01","Invited Lectures","Invited Lecturer","Malnutrition in dialysis patients."
"Dresser, George","Medicine","2005/11/24","Invited Lectures","Invited Lecturer","�ALLHAT vs ASCOT: Update in Hypertension Management�."
"Blake, Peter","Medicine","1997/01","Visiting Professorship","Visiting Professor","Update on adequacy of peritoneal dialysis. Invited talk."
"Dresser, George","Medicine","2006/03/07","Invited Lectures","Invited Lecturer","�Hyperlipidemia in the patient with Peripheral Arterial Disease: The Victoria Hospital Experience�"
"Blake, Peter","Medicine","1997/02","Invited Lectures","Invited Lecturer","Review of recent landmark studies pertaining to adequacy of peritoneal dialysis."
"Blake, Peter","Medicine","1997","Invited Lectures","Invited Lecturer","PD Adequacy - a critical review of recent US and Canadian data."
"Dresser, George","Medicine","2006/03/15","Invited Lectures","Invited Lecturer","�Management of Hypertension in 2006�."
"Blake, Peter","Medicine","1997/05","Invited Lectures","Invited Lecturer","How to prescribe automated PD."
"Dresser, George","Medicine","2006/03/24","Invited Lectures","Invited Lecturer","�The 2006 Canadian Hypertension Education Program Recommendations�."
"Blake, Peter","Medicine","1997/05","Invited Lectures","Invited Lecturer","New developments in peritoneal dialysis."
"Dresser, George","Medicine","2006/04/01","Invited Lectures","Invited Lecturer","�Medical Management and Risk Factor Modification�."
"Blake, Peter","Medicine","1997/06","Invited Lectures","Invited Lecturer","Dialysis Modality Selection Study."
"Blake, Peter","Medicine","1997/06","Invited Lectures","Invited Lecturer","Adequacy of peritoneal dialysis: What are appropriate targets and how to prescribe."
"Dresser, George","Medicine","2006/04/19","Invited Lectures","Invited Lecturer","�Herbal and Natural Therapies�."
"Blake, Peter","Medicine","1997/09/12","Invited Lectures","Invited Lecturer","Workshop on peritoneal dialysis adequacy."
"Blake, Peter","Medicine","1997/09/20","Invited Lectures","Invited Lecturer","Prescriptions for adequate peritoneal dialysis."
