Member Name,Primary Domain,Start Date,End Date,Funding Type,Status,Peer Reviewed?,Industry Grant?,Role,Title,Principal Investigator,Co-Investigators,Total Amount
"Adams, Paul","Medicine","2003/01","2005/01","Grants","Funded","False","False","Co-Investigator","Hepcidin and hemochromatosis.","Paul Adams","D Thorburn","$66,182,509.00"
"Adams, Paul","Medicine","2003/09","","Grants","Funded","False","False","Co-Investigator","Quantitation of liver iron concentration using MRI.","Paul Adams","B Rutt","$62,558,577.00"
"Adams, Paul","Medicine","2005/02","","Grants","Funded","False","False","Principal Investigator","HEmochromatosis and IRon overload Screening study (HEIRS)-NIH-NHLBI-HC-99-04.","Adams P.","","$34,955,769.00"
"Adams, Paul","Medicine","2006/02","","Grants","Funded","False","False","Co-Investigator","HEmochromatosis and IRon overload Screening study (HEIRS)-NIH-NHLBI-HC-99-04.","Paul Adams","","$18,809,669.00"
"Adams, Paul","Medicine","2006/01","2010/12","Grants","Funded","True","False","Co-Investigator","NIH – NHLBI/NIDDK (Bethesda, MD) – Iron Status: A Pathway Analysis in Multiple Ethnicities. (McLaren C, PI and the HEIRS Study Group, R01 HL083328-01A1).","Paul Adams","McLaren C","$66,688,179.00"
"Adams, Paul","Medicine","2007/01","2010/06","Grants","Funded","False","False","Co-Investigator","Perfusion and lipid imaging with a liver specific CT contrast agent to detect progression of cirrhosis to hepatocellular carcinoma.","Paul Adams","Lee T, Adams PC, Chakrabarti S.","$7,016,874.00"
"Borrie, Michael","Medicine","2006/12","2009/11","Clinical Trials","Funded","False","True","Principal Site Investigator","A Phase 1, Randomized, Placebo - Controlled, Double Blind, Dose - Escalation Study of the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Immunogenity of a Single Intravenous Dose of PF-04360365 (RN1219) in Adults with Mild to Moderate Alzheimer Disease. Protocol ID: A9951001.","Borrie MJ","Wells JL","$27,269,893.00"
"Borrie, Michael","Medicine","2006/12","2011/01","Grants","Funded","True","False","Principal Site Investigator","Utilizing High Field Magnetic Resonance Spectroscopy as a Biomarker for Mild Cognitive Impairment","Borrie MJ","Wells JL","$23,120,245.00"
"Borrie, Michael","Medicine","2006/01","2010/12","Grants","Funded","True","False","Principal Site Investigator","Alzheimer Disease Neuroimaging Initiative (ADNI)","Borrie MJ","Wells JL","$14,104,465.00"
"Borrie, Michael","Medicine","2006/08","2010/05","Grants","Funded","True","False","Principal Site Investigator","A Multi - Centre, Blinded, Randomized, Controlled Trial Comparing Different Regimens of the Antibiotics Doxycycline and Rifampin for Treatment of Alzheimer Disease","Molloy W.","Borrie MB, Wells JL et al.","$48,330,731.00"
"Borrie, Michael","Medicine","2005/01","2008/12","Grants","Funded","False","True","Principal Site Investigator","Multi - Site Collaborative Study for Genotype - Phenotype Associations in Alzheimer Disease – Genetic Alzheimer Disease Associations Longitudinal (GenADA Long) and Borrie MJ, Bartha R, Smith M. Longitudinal Imaging Substudy of GenADA.","Borrie MJ","Wells J.L.","$60,133,352.00"
"Borrie, Michael","Medicine","2005/01","2008/12","Grants","Funded","True","False","Principal Investigator","4.0 Tesla 1H Magnetic Resonance Spectroscopy as a Marker of Alzheimer Disease Status and Progression","Borrie MJ","Wells JL","$39,226,069.00"
"Borrie, Michael","Medicine","2005/01","2008/12","Clinical Trials","Funded","False","True","Principal Site Investigator","Magnetic Resonance Imaging in Alzheimer Disease: Longitudinal Part of Genotype - Phenotype Associations in Alzheimer Disease","Borrie MJ","Bartha R., Smith M.","$70,675,968.00"
"Borrie, Michael","Medicine","2005","2006","Grants","Funded","True","False","Collaborator","Info Rehab: Better Information for Better MSK Health and Quality of Life for Older Persons Summary of Research Proposal","Stolee P.","Borrie M.J., Wells J.L., et al.","$65,277,034.00"
"Borrie, Michael","Medicine","2004/01","2008/02","Clinical Trials","Funded","False","True","Principal Site Investigator","EFC 2946 Alzheimer Study: A Randomized, Multi - Centre, Double - Blind, Placebo - Controlled, 18 Month Study of Efficacy of Xaliproden in Patients with Mild to Moderate Dementia of Alzheimer’s Type","Borrie MJ","Wells J.L.","$25,915,866.00"
"Borrie, Michael","Medicine","2004/09","2005/12","Clinical Trials","Funded","False","True","Principal Site Investigator","A Randomized, Double - Blind, Parallel Group Study Examining the Efficacy and Safety of Memantine on Behavioural Symptoms in Patients with Moderate to Severe Dementia of the Alzheimer’s Type (Study No. 10158)","","Borrie M.J., Wells J.L.","$33,676,514.00"
"Borrie, Michael","Medicine","2006/01","2007/10","Clinical Trials","Funded","False","True","Principal Site Investigator","An Open - Label Extension Study Examining the Safety and Tolerability of Memantine in Patients with Moderate to Severe Dementia of the Alzheimer’s Type Having Completed Study No. 10158 (Study No. 10252)","Borrie MJ","Wells JL","$34,989,581.00"
"Borrie, Michael","Medicine","2004/06","2007/05","Clinical Trials","Funded","False","True","Principal Site Investigator","A Double - Blind Phase II Safety and Efficacy Evaluation of ONO - 2506PO in Patients with Mild to Moderate Alzheimer Disease","Borrie MJ","Wells J.L.","$46,008,762.00"
"Borrie, Michael","Medicine","2004/01","2008/01","Clinical Trials","Funded","False","True","Principal Site Investigator","A Phase III Study of the Efficacy and Safety of Alzhemed in Patients with Mild to Moderate Alzheimer Disease","Borrie MJ","Wells J.L.","$63,962,211.00"
"Borrie, Michael","Medicine","2004/01","2006/01","Clinical Trials","Funded","False","True","Principal Site Investigator","Phase III Multi - Centre, Randomized, Double - Blind, Placebo - Controlled Study of the Effect of Daily Treatment with MPC - 7869 on Measures of Cognitive and Global Function in Subjects with Mild to Moderate Dementia of the Alzheimer’s Type with Optional Follow - On After Month 12","Borrie MJ","Wells J.L.","$65,557,809.00"
"Borrie, Michael","Medicine","2004","2005","Clinical Trials","Funded","False","True","Principal Site Investigator","Long - Term Extension of Phase II Study EFC5286 of SR57667B in Patients with Mild to Moderate Alzheimer Disease (LTS 5283)","","Borrie M.J., Wells J.L.","$46,556,310.00"
"Borrie, Michael","Medicine","2004/09","2007/09","Grants","Funded","True","False","Principal Investigator","Markers for the Progression of Mild Cognitive Impairment (MCI) to Alzheimer Disease","Borrie MJ","Smith M., Bartha R., Lee T.Y., Murtha S., Wells J., Stolee P., Rylett J.","$16,738,226.00"
"Borrie, Michael","Medicine","2004/01","2008/03","Grants","Funded","True","False","Co-Investigator","Canadian Alzheimer Disease Quality of Life Study (CADQOL)","Borrie MJ","Wells J.L.","$69,493,012.00"
"Borrie, Michael","Medicine","2003","2005","Clinical Trials","Funded","False","True","Principal Site Investigator","Phase II Multi - Centre, Randomized, Double - Blind, Placebo - Controlled Study of the Effect of Daily Treatment with MPC-7869 on Measures of Cognitive and Global Function in Subjects with Mild to Moderate Dementia of the Alzheimer’s Type","","Borrie M.J., Wells J.L.","$2,712,864.00"
"Borrie, Michael","Medicine","2003","2005","Clinical Trials","Funded","False","True","Principal Site Investigator","Multi - Site Collaborative Study for Genotype - Phenotype Associations in Alzheimer Disease - Genetic Alzheimer Disease Associations (GenADA)","","Borrie M.J., Wells J.L.","$27,161,739.00"
"Borrie, Michael","Medicine","2003","2005","Clinical Trials","Funded","False","True","Principal Site Investigator","Phase II Multi - Centre, Randomized, Double - Blind, Placebo - Controlled Study of the Effect of Daily Treatment with MPC-7869 on Measures of Cognitive and Global Function in Subjects with Mild to Moderate Dementia of the Alzheimer Type","","Borrie M.J., Wells J.L.","$20,289,153.00"
"Borrie, Michael","Medicine","2003/01","2005/01","Clinical Trials","Funded","False","True","Principal Site Investigator","A Phase II Double - Blind, Randomized, Dose - Ranging, Placebo - Controlled, Multi - Centre, Safety and Efficacy Evaluation of Three Doses of NS 2330 in Patients with Mild to Moderate Dementia of the Alzheimer Type","","Borrie M.J., Wells J.L.","$16,539,924.00"
"Borrie, Michael","Medicine","2003/03","2004/11","Clinical Trials","Funded","False","True","Principal Site Investigator","A Phase II, Multi - Centre, Multi - National, Randomized, Double - Blind, Placebo - Controlled, Efficacy, Safety and Tolerability Study of SR57667B in Patients with Mild - to - Moderate Alzheimer Disease","","Borrie M.J., Wells J.L.","$9,804,336.00"
"Borrie, Michael","Medicine","2003/04","2012/12","Grants","Funded","True","False","Principal Investigator","Magnetic Resonance Spectroscopy as a Measurement of Response to Cholinergic Treatment in Alzheimer Disease - Pilot Study","Borrie MJ","Smith M., Bartha R., Rylett J., Stolee P.","$6,461,761.00"
"Borrie, Michael","Medicine","2001","2003","Clinical Trials","Funded","False","False","Principal Investigator","The Patterns and Prevalence of Depressive Symptoms in Mild Cognitive Impairment. An Add - On Randomized Clinical Trial with Galantamine (Investigator Initiated)","","Borrie M.J., Wells J.L., Smith M.","$42,590,642.00"
"Borrie, Michael","Medicine","2001","2004","Clinical Trials","Funded","False","True","Site Investigator","A Randomized, 26 Week Double - Blind, Placebo - Controlled Trial to Evaluate the Efficacy and Safety of Galantamine in the Treatment of Dementia Secondary to Cerebrovascular Disease (Gal-Int-26)","","Borrie M.J.","$42,618,373.00"
"Borrie, Michael","Medicine","2001","2002","Clinical Trials","Funded","False","True","Principal Site Investigator","Randomized Double - Blind Placebo - Controlled Trial to Evaluate the Efficacy and Safety of Galantamine in Subjects with Mild Cognitive Impairment Clinically at Risk for Development of Clinically Probably Alzheimer Disease (Gal-Int-11)","","Borrie M.J.","$33,035,385.00"
"Borrie, Michael","Medicine","2000","2007","Clinical Trials","Funded","False","True","Principal Site Investigator","Canadian Outcomes Study in Dementia (COSID)","","Borrie M.J., Wells J.L.","$47,167,918.00"
"Clark, William","Medicine","2007/07","2009/06","Grants","Funded","False","True","Co-Investigator","Octapharma Pharmazeutika: A Blinded Non-Inferiority Study to Compare Uniplas with Cryosuprenatant Plasma in Thrombotic Thrombocytopenic Purpura","Gail Rock","William Clark","$32,757,081.00"
"Clark, William","Medicine","2007/07","2010/06","Grants","Funded","False","True","Co-Investigator","Rituximab: A Phase II Study Evaluating the Efficacy of Rituximab in the Management of Patients with Relapsed/Refractory TTP-HUS","Ronan Foley","Clark WF, London Health Sciences Centre","$300,316.00"
"Clark, William","Medicine","2006/07","2010/06","Grants","Funded","True","False","Co-investigator","Data coordinating facility for clinical research in kidney diseases","Dr. Amit X. Garg","Clark WF, London Health Sciences Centre","$11,502,819.00"
"Clark, William","Medicine","2002/07","2010/12","Grants","Funded","True","False","Principal Investigator","A seven year prospective cohort study on the characterization and management of long-term Medical complications from E.coli 0157:H7 infection in Walkerton, Ontario","William Clark","Clark WF, Garg AX, Howard J, Matsell J, Moist L, Salvadori M, Suri R in collaboration with Collins S, Marshall J","$32,167,571.00"
"Clark, William","Medicine","2003/07","2005/06","Grants","Funded","True","False","Co-investigator","Long-term risk of abnormal glucose homeostasis after E.coli 0157:H7 gastroenteritis: The Walkerton Health Study","Dr. Rita Suri","","$67,749,516.00"
"Clark, William","Medicine","2003/07","2004/06","Grants","Funded","False","False","Principal Investigator","To characterize high volume proteinuria with normal Albumin/creatinine ratio noted in 32 patients detected in the Walkerton Health Study","William Clark","Clark WF, London Health Sciences Centre","$44,050,379.00"
"Clark, William","Medicine","2001/07","2003/06","Grants","Funded","True","False","Principal Investigator","Plasma exchange in myeloma and associated renal failure","William Clark","","$3,767,520.00"
"Clark, William","Medicine","2001/07","2003/06","Grants","Funded","True","False","Principal Investigator","Plasma exchange in myeloma and associated renal failure","William Clark","","$9,072,833.00"
"Clark, William","Medicine","2000/07","2003/06","Grants","Funded","True","False","Co-investigator","Comparison of solvent detergent vs cryosupernatant plasma in TTP","Dr. Gail Rock","","$11,271,034.00"
"Clark, William","Medicine","1998/07","2001/06","Grants","Funded","True","False","Principal Investigator","Plasma exchange in myeloma associated with renal failure","William Clark","","$47,044,874.00"
"Clark, William","Medicine","1998/07","2000/06","Grants","Funded","False","False","Co-investigator","Study of cryosupernatant plasma vs fresh frozen plasma as a replacement fluid in plasma exchange for TTP and HUS","Dr. Gail Rock","","$28,540,340.00"
"Clark, William","Medicine","1997/07","1999/06","Grants","Funded","True","False","Co-investigator","Evaluation in the role of antibodies in HUS","Dr. Gail Rock","","$21,197,144.00"
"Clark, William","Medicine","1996/07","1998/06","Grants","Funded","True","False","Principal Investigator","SDG lignans in experimental lupus nephritis","William Clark","","$50,335,685.00"
"Clark, William","Medicine","1995/07","1996/06","Grants","Funded","True","False","Principal Investigator","Flaxseed in lupus nephritis: a prospective randomized, crossover study","William Clark","","$51,015,225.00"
"Clark, William","Medicine","1995/07","1996/06","Grants","Funded","True","False","Principal Investigator","Flaxseed in diabetic nephropathy: a dosing study","Dr. W. F. Clark","","$44,522,283.00"
"Clark, William","Medicine","1995/07","1996/06","Grants","Funded","True","False","Principal Investigator","Flaxseed in diabetic nephropathy","Dr. Ann Hall","","$58,688,378.00"
"Clark, William","Medicine","1994/07","1995/06","Grants","Funded","True","False","Principal Investigator","Flaxseed in a rat model of chronic renal allograft rejection","Dr. Anwar Parbtani","","$29,071,862.00"
"Clark, William","Medicine","1993/07","1995/06","Grants","Funded","True","False","Co-investigator","Effects of HUS on cognitive, academic and behavioural functioning","Dr. Peter Rowe","","$65,388,247.00"
"Clark, William","Medicine","1993/07","1995/06","Grants","Funded","True","False","Principal Investigator","Flaxseed in lupus nephritis","William Clark","","$34,482,223.00"
"Clark, William","Medicine","1993/07","1994/06","Grants","Funded","False","False","Principal Investigator","Flaxseed in lupus nephritis","William Clark","","$47,514,013.00"
"Clark, William","Medicine","1991/07","1992/06","Grants","Funded","False","False","Principal Investigator","Dietary therapies in rat remnant nephron model Clinical Project BF20","William Clark","","$23,871,791.00"
"Clark, William","Medicine","1990/07","1993/06","Grants","Funded","True","False","Principal Investigator","Fish oil therapy in SLE","Dr. W. F. Clark","","$54,147,063.00"
"Clark, William","Medicine","1988/07","1999/06","Grants","Funded","True","False","Principal Investigator","Chronic progressive model of renal injury","William Clark","","$3,409,922.00"
"Clark, William","Medicine","1987/07","1988/06","Grants","Funded","False","False","Principal Investigator","Effects of single and multiple doses of Itazigrel on platelet aggregation in patients with carotid and peripheral atherosclerosis","","","$404,843.00"
"Clark, William","Medicine","1987/07","1988/06","Grants","Funded","True","False","Principal Investigator","Platelet release reaction – association with renal hyperfiltration and the evolution of glomerulosclerosis – a final common pathway","William Clark","","$74,147,648.00"
"Clark, William","Medicine","1987/07","1988/06","Grants","Funded","True","False","Principal Investigator","Acute effects of eicosapentaenoic acid in patients with SLE","William Clark","","$25,208,931.00"
"Clark, William","Medicine","1987/07","1988/06","Grants","Funded","True","False","Principal Investigator","Platelet release reaction – association with renal hyperfiltration and the evolution of glomerulosclerosis – final common pathway","William Clark","","$58,841,017.00"
"Clark, William","Medicine","1985/07","1986/06","Grants","Funded","False","False","Principal Investigator","Effects of thromboxane synthase inhibitor in the treatment of NZB/NZW F–1 lupus mice: comparison of different drug dosage","William Clark","","$28,084,913.00"
"Clark, William","Medicine","1985/07","1986/06","Grants","Funded","False","False","Principal Investigator","PGE-1 and thomboxane synthase inhibitor treatment in mice with lupus-like syndrome","William Clark","","$62,610,570.00"
"Clark, William","Medicine","1985/07","1986/06","Grants","Funded","True","False","Principal Investigator","Antiplatelet therapy in murine lupus","William Clark","","$12,056,660.00"
"Clark, William","Medicine","1985/07","1986/06","Grants","Funded","True","False","Principal Investigator","The role of platelets in experimental lupus nephritis in NZB/NZW F-1 mice","William Clark","","$72,125,054.00"
"Clark, William","Medicine","1984/07","1987/06","Grants","Funded","True","False","Principal Investigator","Platelet immune complex interaction in the immunopathogenesis of renal disease","William Clark","","$59,768,871.00"
"Clark, William","Medicine","1984/07","1987/06","Grants","Funded","True","False","Principal Investigator","Platelet associated IgG in SLE","William Clark","","$46,819,447.00"
"Clark, William","Medicine","1982/07","1984/06","Grants","Funded","True","False","Principal Investigator","Platelet immune complex interaction in the immunopathogenesis of renal disease","William Clark","","$67,228,820.00"
"Clark, William","Medicine","1980/07","1983/06","Grants","Funded","True","False","Principal Investigator","Plasmapheresis in SLE diffuse proliferative glomerulonephritis","William Clark","","$14,814,259.00"
"Clark, William","Medicine","1982/07","1983/06","Grants","Funded","True","False","Principal Investigator","Retrospective analysis of immune parameters and disease activity Platelet immune complex interaction","William Clark","","$33,311,663.00"
"Clark, William","Medicine","1980/07","1982/06","Grants","Funded","True","False","Principal Investigator","Interaction of immune complexes and platelets in plasma","William Clark","","$32,367,332.00"
"Clark, William","Medicine","1980/07","1981/06","Grants","Funded","True","False","Principal Investigator","Plasmapheresis in SLE diffuse proliferative glomeruonephritis","William Clark","","$30,200,578.00"
"Clark, William","Medicine","1979/07","1980/06","Grants","Funded","True","False","Principal Investigator","Plasmapheresis in SLE diffuse proliferative glomeruonephritis-a pilot study","William Clark","","$14,409,250.00"
"Clark, William","Medicine","1979/07","1980/06","Grants","Funded","True","False","Principal Investigator","Platelets in renal disease","William Clark","","$38,828,046.00"
"Clark, William","Medicine","1979/07","1980/06","Grants","Funded","True","False","Principal Investigator","Pathogenesis of scarring in immune complex nephritis with particular reference to the role of the platelet","William Clark","","$69,297,759.00"
"Clark, William","Medicine","1977/07","1979/06","Grants","Funded","True","False","Principal Investigator","Platelet and immune complex nephritis","William Clark","","$37,449,420.00"
"Brymer, Chris","Medicine","1993","1994","Grants","Funded","False","False","Principal Investigator","Nimodipine for Geriatric Urge Incontinence: A randomized, double-blind, placebo-controlled, crossover trial.","Brymer C, Naglie G, Radomski S, Lemieux MC","","$67,388,948.00"
"Brymer, Chris","Medicine","1996","","Grants","Funded","False","False","Principal Investigator","The Prevalence of Urinary Retention in Institutional and Community Settings.","Borrie MJ, Brymer CD","","$49,514,713.00"
"Brymer, Chris","Medicine","1996","","Grants","Funded","False","False","Principal Investigator","The SMILE (Substance Misuse in London's Elderly) Project - A Community Based Approach. 1996. St. Mary's Fund. $97,000.00. ($25,000.00 extension awarded May 1997).","Brymer C, Rusnell I","","$60,051,020.00"
"Brymer, Chris","Medicine","1997/05","","Grants","Funded","False","False","Principal Investigator","The SMILE (Substance Misuse in London's Elderly) Project - A Community Based Approach.","Brymer C, Rusnell I","","$62,449,268.00"
"Brymer, Chris","Medicine","1997/10","","Grants","Funded","False","False","Principal Investigator","Development and Validation of an Inappropriate Prescribing in the Elderly Tool (IPET).","Brymer C, Naugler C, Stolee P","","$32,753,831.00"
"Brymer, Chris","Medicine","1998/03","","Grants","Funded","False","False","Principal Investigator","Determining Predictors of Adherence to Recommendations of Geriatric Outreach Team Assessments.","Stolee P, Brymer C, Borrie M, Griffiths N.","","$535,716.00"
"Brymer, Chris","Medicine","1999/03","","Grants","Funded","False","False","Principal Investigator","Application of the Inappropriate Prescribing in the Elderly Tool (IPET) in a Long Term Care Setting.","Brymer C, Stolee P, Feightner J, Viana L, Gill S.","","$25,440,337.00"
"Brymer, Chris","Medicine","2000","","Grants","Funded","False","False","Principal Investigator","Prevalence and Predictors of Durable Functional Gains.","Brymer C, Crilly R, Dasgupta M, Wanger K, Beaton C","","$47,256,184.00"
"Dasgupta, Monidipa","Medicine","2004","2004/04","Grants","Funded","True","False","","Hepatic Cytochrome Polymorphism and Response to Galantamine","","","$34,880,196.00"
"Blake, Peter","Medicine","1993","1995","Grants","Funded","False","False","Principal Investigator","The acute effects of amino acids and of their route of administration on hormonal mediators of metabolism in dialysis patients","PG Blake","","$68,136,620.00"
"Blake, Peter","Medicine","1993","1995","Grants","Funded","False","False","Principal Investigator","Malnutrition in dialysis patients","PG Blake","","$35,228,751.00"
"Blake, Peter","Medicine","1993","1993","Grants","Funded","False","True","Principal Investigator","Modification of an amino acid solution for peritoneal dialysis to reduce risk of acidemia","Jones M","Martis L, Oreopoulos DG, PG Blake (20% co-investigator)","$12,670,592.00"
"Blake, Peter","Medicine","1996","1997","Grants","Funded","False","True","Principal Investigator","What is the optimal APD prescription?","PG Blake","DG Oreopoulos","$43,536,268.00"
"Blake, Peter","Medicine","1996","1998","Grants","Funded","False","True","Collaborator","Comparison of local tolerability of subcutaneous injections of Epoietin alpha with citrate buffer and with phosphate buffer","PG Blake and investigators at 3 other sites (25%)","","$54,722,668.00"
"Blake, Peter","Medicine","1995","1996","Grants","Funded","False","True","Principal Investigator","Verification of performance data on the Focus series of dialyzers","PG Blake","","$59,133,584.00"
"Blake, Peter","Medicine","1995","1997","Grants","Funded","False","True","Co-Investigator","Evaluation of a blood volume monitor in routine hemodialysis","RM Lindsay","PG Blake, Kortas C, Clark WF (25% co-investigator)","$66,165,033.00"
"Blake, Peter","Medicine","1997","1998","Grants","Funded","False","True","Principal Investigator","Validation of PD Adequest for predicted versus measured clearances of dialysate and urine in PD patients","PG Blake","multiple co-investigators","$35,580,392.00"
"Blake, Peter","Medicine","1998","2000","Grants","Funded","False","True","Principal Investigator","A study to evaluate the safety of a 7.5% Icodextrin peritoneal dialysis solution in patients treated with peritoneal dialysis (PD) in North America","PG Blake","multiple co-investigators","$61,865,890.00"
"Blake, Peter","Medicine","1998","2000","Grants","Funded","False","True","Principal Investigator","A study to evaluate the safety and efficacy of a 7.5% Icodextrin peritoneal dialysis solution in patients treated with continuous ambulatory peritoneal dialysis (PD) in North America","PG Blake","multiple co-investigators","$52,704,110.00"
"Blake, Peter","Medicine","1999","2000","Grants","Funded","False","True","Principal Investigator","Investigation of iron status in predialysis patients","PG Blake","","$35,280,637.00"
"Blake, Peter","Medicine","1999","2001","Grants","Funded","False","True","Principal Investigator","Establishment of pre-dialysis clinic database","PG Blake (principal investigator)","","$62,704,420.00"
"Blake, Peter","Medicine","2000","2001","Grants","Funded","False","True","Principal Investigator","A study evaluating the initiation and titration of fixed doses of Novel Erythropoiesis Stimulating Protein (NESP) therapy in subjects with chronic renal insufficiency (CRI)","PG Blake","multiple co-investigators","$29,309,419.00"
"Blake, Peter","Medicine","2000","2001","Grants","Funded","False","True","Co-Principal Investigator","The use of intravenous Ferrlecit in patients with chronic renal failure and iron deficiency.","PG Blake, one of four co-principal investigators","","$40,214,461.00"
"Blake, Peter","Medicine","2001","2001","Grants","Funded","False","True","Principal Investigator","Comparison of EPREX injections delivered by 3-bevelled vs.5-bevelled needle in hemodialysis patients","PG Blake","","$20,630,276.00"
"Blake, Peter","Medicine","2003","2008","Grants","Funded","False","False","Co-Investigator","Investigation of dendritic cells in peritoneal effluent","JA Madrenas","","$48,358,077.00"
"Haddara, Wael","Medicine","2003","present","Clinical Trials","Funded","True","False","Co-Investigator","Multiple Organ Transplant Program - “Thyroxine in Organ Donors”","WMR Haddara","Dr Michael Sharpe, Division of Critical Care Medicine, University of Western Ontario, London, ON.","$51,862,083.00"
"Boughner, Derek","Medicine","2007/07","2010/06","Grants","Funded","True","False","Principal Investigator","A tissue engineering approach to bioprosthetic heart valve design","Dr. D. Boughner","Dr. K. Rogers, Dr.J.Lacefield","$63,625,204.00"
"House, Andrew","Medicine","2007/07","2008/06","Grants","Funded","True","False","Co-Investigator","N-Acetylcysteine and the effect on tubular secretion of creatinine in patients with chronic kidney disease","Louise Moist","A. House","$52,142,808.00"
"House, Andrew","Medicine","2006/09","2011/08","Grants","Funded","True","False","Co-Investigator","ACE-inhibition for the preservation of renal function and patient survival in kidney transplantation","Norman Muirhead","A. House","$7,129,464.00"
"House, Andrew","Medicine","2006/09","2009/08","Grants","Funded","True","False","Co-Investigator","3-D ultrasound phenotypes of atherosclerosis","David Spence","A. House","$46,084,190.00"
"House, Andrew","Medicine","2006/09","2009/08","Grants","Funded","True","False","Co-Investigator","Effect of treatment of subclinical hypothyroidism on atherosclerosis","David Spence","A. House","$35,966,559.00"
"House, Andrew","Medicine","2005/03","2006/02","Grants","Funded","True","False","Principal Investigator","The effect of oral mesna on plasma total homocysteine concentrations in subjects with normal kidney function","A House","D Freeman","$28,038,193.00"
"House, Andrew","Medicine","2004/09","2005/08","Grants","Funded","True","False","Co-Investigator","Decreasing plasma homocysteine concentration in hemodialysis patients","David Freeman","A. House","$27,916,007.00"
